danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,clusters_id
0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,audio_features,1Y373MqadDRtclJNdnUXVc,spotify:track:1Y373MqadDRtclJNdnUXVc,https://api.spotify.com/v1/tracks/1Y373MqadDRtclJNdnUXVc,https://api.spotify.com/v1/audio-analysis/1Y373MqadDRtclJNdnUXVc,168406,4,0
0.239,0.754,0,-6.645,1,0.0354,0.000131,0.000491,0.333,0.478,82.663,audio_features,5FAO8M86HZX9TFfBMR2isb,spotify:track:5FAO8M86HZX9TFfBMR2isb,https://api.spotify.com/v1/tracks/5FAO8M86HZX9TFfBMR2isb,https://api.spotify.com/v1/audio-analysis/5FAO8M86HZX9TFfBMR2isb,378920,4,0
0.668,0.605,2,-7.608,0,0.0454,0.336,0.000206,0.115,0.877,83.002,audio_features,384TJj6XyHUyNlCbdgm6Sz,spotify:track:384TJj6XyHUyNlCbdgm6Sz,https://api.spotify.com/v1/tracks/384TJj6XyHUyNlCbdgm6Sz,https://api.spotify.com/v1/audio-analysis/384TJj6XyHUyNlCbdgm6Sz,245995,4,2
0.705,0.728,4,-3.184,0,0.035,0.00122,0.0693,0.0753,0.966,109.991,audio_features,4Y6GIje3GErVRIq1Ff5BJq,spotify:track:4Y6GIje3GErVRIq1Ff5BJq,https://api.spotify.com/v1/tracks/4Y6GIje3GErVRIq1Ff5BJq,https://api.spotify.com/v1/audio-analysis/4Y6GIje3GErVRIq1Ff5BJq,226533,4,2
0.513,0.168,0,-13.937,1,0.0351,0.785,0.0,0.222,0.666,115.647,audio_features,5ubfR5Biqx3Mh9lYK0Davt,spotify:track:5ubfR5Biqx3Mh9lYK0Davt,https://api.spotify.com/v1/tracks/5ubfR5Biqx3Mh9lYK0Davt,https://api.spotify.com/v1/audio-analysis/5ubfR5Biqx3Mh9lYK0Davt,284680,3,7
0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,audio_features,4P5KoWXOxwuobLmHXLMobV,spotify:track:4P5KoWXOxwuobLmHXLMobV,https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV,https://api.spotify.com/v1/audio-analysis/4P5KoWXOxwuobLmHXLMobV,218920,4,2
0.369,0.21,6,-13.552,1,0.0437,0.959,4.53e-05,0.0905,0.391,131.714,audio_features,25ZYvZ2qFw7XCu8nzUxxmU,spotify:track:25ZYvZ2qFw7XCu8nzUxxmU,https://api.spotify.com/v1/tracks/25ZYvZ2qFw7XCu8nzUxxmU,https://api.spotify.com/v1/audio-analysis/25ZYvZ2qFw7XCu8nzUxxmU,142173,3,7
0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,audio_features,7a53HqqArd4b9NF4XAmlbI,spotify:track:7a53HqqArd4b9NF4XAmlbI,https://api.spotify.com/v1/tracks/7a53HqqArd4b9NF4XAmlbI,https://api.spotify.com/v1/audio-analysis/7a53HqqArd4b9NF4XAmlbI,162399,4,2
0.558,0.364,4,-11.258,0,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171,audio_features,10igKaIKsSB6ZnWxPxPvKO,spotify:track:10igKaIKsSB6ZnWxPxPvKO,https://api.spotify.com/v1/tracks/10igKaIKsSB6ZnWxPxPvKO,https://api.spotify.com/v1/audio-analysis/10igKaIKsSB6ZnWxPxPvKO,388733,3,7
0.688,0.879,7,-5.231,1,0.2,0.624,0.0,0.173,0.265,124.904,audio_features,6my3pKZ8QxxI5ZezQVR0wf,spotify:track:6my3pKZ8QxxI5ZezQVR0wf,https://api.spotify.com/v1/tracks/6my3pKZ8QxxI5ZezQVR0wf,https://api.spotify.com/v1/audio-analysis/6my3pKZ8QxxI5ZezQVR0wf,205027,4,4
